Cable System|Cable type (Backhaul/Subsea)|Segment|A-end Country|A-End PoP|B-end PoP|B-end Country|RTD(ms)|Weight|Supplier/Provider|Status|On-Net|Data Quality (Segment)|Data Quality (RTD)
UNITED STATES OF AMERICA Backhaul|Backhaul|US142|UNITED STATES OF AMERICA|UNSE|UNHS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US143|UNITED STATES OF AMERICA|PAIX|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US144|UNITED STATES OF AMERICA|TLOT|EQLA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Create|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US145|UNITED STATES OF AMERICA|UNSE|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US146|UNITED STATES OF AMERICA|1WLT|EQAB|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Create|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US148|UNITED STATES OF AMERICA|UNSE|EQAB|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US149|UNITED STATES OF AMERICA|TLOT|EQAB|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US151|UNITED STATES OF AMERICA|UHHK|KELS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US152|UNITED STATES OF AMERICA|MKLS|KELS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US153|UNITED STATES OF AMERICA|UHHK|MKLS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US154|UNITED STATES OF AMERICA|KELS|HIKA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US155|UNITED STATES OF AMERICA|USWB|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US156|UNITED STATES OF AMERICA|USWB|PAIX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US157|UNITED STATES OF AMERICA|EQNX|BAAT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US158|UNITED STATES OF AMERICA|USWB|BAAT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US159|UNITED STATES OF AMERICA|SLOJ|1WLT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US16|UNITED STATES OF AMERICA|EQLA|1WLT|UNITED STATES OF AMERICA|1|10|Telstra International|In Service|Yes|Match|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US160|UNITED STATES OF AMERICA|BAAT|1WLT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US161|UNITED STATES OF AMERICA|SLOJ|EQCH|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US162|UNITED STATES OF AMERICA|PAIX|BAAT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US163|UNITED STATES OF AMERICA|SLOJ|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US164|UNITED STATES OF AMERICA|USFB|PAIX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US165|UNITED STATES OF AMERICA|UNSE|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US166|UNITED STATES OF AMERICA|USWB|HILS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US167|UNITED STATES OF AMERICA|USDF|EQAB|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US168|UNITED STATES OF AMERICA|USDF|ULAL|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US169|UNITED STATES OF AMERICA|USFB|HILS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US172|UNITED STATES OF AMERICA|UHHK|MKAL|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US173|UNITED STATES OF AMERICA|UHHK|KELS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US174|UNITED STATES OF AMERICA|ULAL|EQAB|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US175|UNITED STATES OF AMERICA|UME1|EQAB|UNITED STATES OF AMERICA|52.271ms|10|Telstra International|In Service|Yes|Match|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US176|UNITED STATES OF AMERICA|UME1|ULAL|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US180|UNITED STATES OF AMERICA|UME1|ULAL|UNITED STATES OF AMERICA|25.998ms|10|Telstra International|In Service|Yes|Unable to reconcile against source|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US181|UNITED STATES OF AMERICA|UHHK|HIKA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US182|UNITED STATES OF AMERICA|UHHK|HIKA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US18a|UNITED STATES OF AMERICA|UNSE|NY8A|UNITED STATES OF AMERICA|0.239|10|Telstra International|In Service|Yes|Unable to reconcile against source|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US18b|UNITED STATES OF AMERICA|UNSE|NY8A|UNITED STATES OF AMERICA|1.239|10|Telstra International|In Service|Yes|Unable to reconcile against source|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US19|UNITED STATES OF AMERICA|UNY4|UNSE|UNITED STATES OF AMERICA|0.013|10|Telstra International|In Service|Yes|Unable to reconcile against source|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US21|UNITED STATES OF AMERICA|USFB|1WLT|UNITED STATES OF AMERICA|22|10|Telstra International|In Service|Yes|Unable to reconcile against source|Match
UNITED STATES OF AMERICA Backhaul|Backhaul|US30|UNITED STATES OF AMERICA|PAIX|1WLT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US305|UNITED STATES OF AMERICA|EQNX|BAAT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US34|UNITED STATES OF AMERICA|ULAL|TLOT|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US40|UNITED STATES OF AMERICA|ULAL|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US41a|UNITED STATES OF AMERICA|MRBC|MBOA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US41b|UNITED STATES OF AMERICA|MRBC|MBOA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US430|UNITED STATES OF AMERICA|MRBC|MBOA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US45|UNITED STATES OF AMERICA|TLOT|EQLA|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US46|UNITED STATES OF AMERICA|PAIX|EQNX|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
UNITED STATES OF AMERICA Backhaul|Backhaul|US47|UNITED STATES OF AMERICA|USFB|HILS|UNITED STATES OF AMERICA|#N/A|10|Telstra International|In Service|Yes|Create|Unable to reconcile against source
AAG CABLE NETWORK|Subsea|AAG S5 FP-3 [AAG DF]|UNITED STATES OF AMERICA|SLOJ|KELS|UNITED STATES OF AMERICA|42|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S4 FP-2 [KEA-TAN]|GUAM|TALS|KELS|UNITED STATES OF AMERICA|67|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S5 FP-2 [KEA-SLO]|UNITED STATES OF AMERICA|SLOJ|KELS|UNITED STATES OF AMERICA|42|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S4 FP-1 [KEA-TAN]|GUAM|TALS|KELS|UNITED STATES OF AMERICA|67|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S5 FP-1 [KEA-SLO]|UNITED STATES OF AMERICA|SLOJ|KELS|UNITED STATES OF AMERICA|42|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S4|GUAM|TALS|KELS|UNITED STATES OF AMERICA|110|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S5|UNITED STATES OF AMERICA|SLOJ|KELS|UNITED STATES OF AMERICA|42|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S3 FP-2 [LAU-TAN]|GUAM|TALS|LAUS|PHILIPPINES|31|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S2 FP-1 [LAU-SLT]|HONG KONG|SLTU|LAUS|PHILIPPINES|31|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S3 FP-1 [LAU-TAN]|GUAM|TALS|LAUS|PHILIPPINES|31|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S2 FP-2 [LAU-SLT]|HONG KONG|SLTU|LAUS|PHILIPPINES|11|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S2|HONG KONG|SLTU|LAUS|PHILIPPINES|11|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S3|GUAM|TALS|LAUS|PHILIPPINES|31|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-4(1) [MER-SRA]|THAILAND|SREX|MECS|MALAYSIA|19|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-1(2) [MER-SLT]|HONG KONG|SLTU|MECS|MALAYSIA|28|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-2(3) [MER-SCG]|SINGAPORE|SCGL|MECS|MALAYSIA|4|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-3(3) [SCG-SLT]|HONG KONG|SLTU|SCGL|SINGAPORE|29|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG [SLTU SLOJ]|HONG KONG|SLTU|SLOJ|UNITED STATES OF AMERICA|152|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG [SLTU SREX]|THAILAND|SREX|SLTU|HONG KONG|46|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-7(1) [SLT-VTU]|VIETNAM|VUCL|SLTU|HONG KONG|21|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-5(1) [SRA-TGK]|BRUNEI|TULS|SREX|THAILAND|25|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1 FP-6(1) [TGK-VTU]|VIETNAM|VUCL|TULS|BRUNEI|15|20|Consortium|In Service|Yes|To be determined|Match
AAG CABLE NETWORK|Subsea|AAG S1|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Consortium|In Service|Yes|Delete - Test record|
AJC CABLE NETWORK|Subsea|AJC S4,S5,S7,S9 [MRU TMN]|GUAM|TBCS|MJLS|JAPAN|40|20|Consortium|In Service|Yes|To be determined|Match
AJC CABLE NETWORK|Subsea|AJC S10 [MRU SIM]|JAPAN|SSNT|MJLS|JAPAN|6|20|Consortium|In Service|Yes|To be determined|Match
AJC CABLE NETWORK|Subsea|AJC S6,S7,S8 [SIM TGN]|GUAM|TALS|SSNT|JAPAN|40|20|Consortium|In Service|Yes|To be determined|Match
AJC CABLE NETWORK|Subsea|AJC [SYDO SYDP]|AUSTRALIA|SYDP|SYDO|AUSTRALIA||20|Consortium|In Service|Yes|To be determined|Unable to reconcile against source
AJC CABLE NETWORK|Subsea|AJC S2,S3,S5,S6 [SYDO TGN]|GUAM|TALS|SYDO|AUSTRALIA|72|20|Consortium|In Service|Yes|To be determined|Match
AJC CABLE NETWORK|Subsea|AJC S1,S3,S4 [SYDP TMN]|GUAM|TBCS|SYDP|AUSTRALIA|72|20|Consortium|In Service|Yes|To be determined|Match
AJC CABLE NETWORK|Subsea|AJC [TGN TMN]|GUAM|TBCS|TALS|GUAM||20|Consortium|In Service|Yes|To be determined|Unable to reconcile against source
APCN2 CABLE NETWORK|Subsea|APCN2 S8C & S8S [BTG KTG]|SINGAPORE|KTLS|BTGA|PHILIPPINES|28|20|Consortium|In Service|Yes|To be determined|Match
APCN2 CABLE NETWORK|Subsea|APCN2 S5 [CHK KTB]|JAPAN|KALS|CKKD|JAPAN|5|20|Consortium|In Service|Yes|To be determined|Match
APCN2 CABLE NETWORK|Subsea|APCN2 S4C & S4E [KTB PSN]|KOREA SOUTH|PUCS|KJLS|JAPAN|31|20|Consortium|In Service|Yes|To be determined|Match
APCN2 CABLE NETWORK|Subsea|APCN2 S1 [KTG KTN]|MALAYSIA|KTN&|KTLS|SINGAPORE|5|20|Consortium|In Service|Yes|To be determined|Match
APCN2 CABLE NETWORK|Subsea|APCN2 S2 [KTN LNT]|HONG KONG|SLTU|KTN&|MALAYSIA|26|20|Consortium|In Service|Yes|To be determined|Match
APCN2 CABLE NETWORK|Subsea|What about other segments?|||||||Consortium|||Unable to reconcile against source|Unable to reconcile against source
C2C CABLE NETWORK|Subsea|C2C SEGMENT 1 (HKCC - PNMA)|PHILIPPINES|PNMA|HKCC|HONG KONG|13.26|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 2AB (HKCC - FGCC)|HONG KONG|HKCC|FGCC|TAIWAN|7.506|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 2AC (HKCC - TTTJ)|TAIWAN|TTTJ|HKCC|HONG KONG|16.583|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 2AC+3A+3B|KOREA SOUTH|PUCC|HKCC|HONG KONG|42.065|10|Telstra International|Faulty|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 2BC (FGCC - TTTJ)|TAIWAN|TTTJ|FGCC|TAIWAN|11.303|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 3A (CFLC - TTTJ)|TAIWAN|TTTJ|CFLC|CHINA|11.781|10|Telstra International|Faulty|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 3A+3B|TAIWAN|TTTJ|PUCC|KOREA SOUTH|23.256|10|Telstra International|Faulty|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 3A+3B+3C|TAIWAN|TTTJ|JSOM|JAPAN|40.982|10|Telstra International|Faulty|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 3B (CFLC - PUCC)|KOREA SOUTH|PUCC|CFLC|CHINA|11.475|10|Telstra International|Faulty|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 3C (PUCC - SMCC)|JAPAN|SMCC|PUCC|KOREA SOUTH|17.726|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 4 (CHCC - SMCC)|JAPAN|SMCC|CHCC|JAPAN|39.4|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 5 (CHCC - PNMA)|PHILIPPINES|PNMA|CHCC|JAPAN|39.4|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 6 (PNMA - SGCH)|SINGAPORE|SGCH|PNMA|PHILIPPINES|25.43|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SEGMENT 7 (SGCH - HKCC)|SINGAPORE|SGCH|HKCC|HONG KONG|28.7|10|Telstra International|In Service|Yes|To be determined|Match
C2C CABLE NETWORK|Subsea|C2C SHIMA CLS TO EAC SHIMA CLS|JAPAN|SMCC|JSOM|JAPAN||10|Telstra International|In Service|Yes|To be determined|Unable to reconcile against source
C2C CABLE NETWORK|Subsea|C2C TW CLS|TAIWAN|TAIPEI|TTTJ|TAIWAN||10|Telstra International|In Service|Yes|To be determined|Unable to reconcile against source
C2C CABLE NETWORK|Subsea|C2C HK CLS|HONG KONG|HKCK|HKCC|HONG KONG||10|Telstra International|In Service|Yes|To be determined|Unable to reconcile against source
C2C CABLE NETWORK|Subsea|C2C EXPRESS MAIN RING 1 (C2CEXMR001)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C EXPRESS MAIN RING 2 (C2CEXMR002)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C EXPRESS MAIN RING 3 (C2CEXMR003)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C EXPRESS MAIN RING 3 (C2CEXMR003) DIAGRAM|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C MAIN RING#5 (C2CMR0005)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C MAIN RING#5 (C2CMR0005)- PROTECT|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C MAIN RING#6 (C2CMR0006)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C MAIN RING1|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C MAIN RING4 (NO TRAFFIC IN THIS RING)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C NORTH RING 3P|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C NORTH RING1|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C NORTH RING2|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C NORTH RING3|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C OCG1|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C OCG10|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C OCG2|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C OCG3|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C OCG4|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C OCG9|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C SOUTH RING1|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C SOUTH RING2|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C SOUTH RING3|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2C SOUTH RING3P|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD10TAI001|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD10TAI003|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA001|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA0012|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA0013|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA003|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA004|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA009|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA010|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHA014|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHANP001|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64HKGCHANP002|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CD64SNGEQU001|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CHKGCHK <--> EACHKGCHA|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CHKGCHK <--> EACHKGTSE|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CNRNP001|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CSRNP001|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|C2CSRNP002|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|TEMP C2C MAIN RING#5 (C2CMR0005)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
C2C CABLE NETWORK|Subsea|TEMP C2C MAIN RING#6 (C2CMR0006)|AFGHANISTAN|ZZZZ|ZZZZ|AFGHANISTAN|||Telstra International|In Service|Yes|Delete - Test record|
