MASTER_DATA_ID__c|Name|CS_POP_Label__c|Status__c|Provider__c|Type__c|CS_POP_Options__c|Facility_Type__c|Address__r.Name|CS_City__c|CS_Country__c|CS_Region__c|Latitude__c|Longitude__c|Local_Access_Providers__c|Workflow_Queue__c|On_Net_POP__c|Tier__c|Supported_AS__c|FS_Waiver_IPVPN__c|FS_Waiver_Internet__c|FS_Waiver_Colo__c|Is_LOA_Mandatory|LL_Test_By_FS__c|Supported_By__c|Facility_Name__c|Operate__c|Facility_Provider__c|Facility_Service_Status__c|Power_Upgrade_Availability__c|Annual Price Increment|API_Applicable_Product|Standard__c|Facility_Workflow_Queue__c|Customer__c|Facility_Certfication__c|Metro Connect|Campus Cross Connect|NNIA/B Suppliers|ENNI Suppliers|Additional_Information__c|EPL|EPL Prime|IPL|ICBS|EPLX|GID|IPT|TWI|TID|GIE|IPVPN|RSA|SMA|VPLS|EVPL|COLO|TPN|GMN|CLSCOLO|SATDPL|SATTAS|SATVST|SATVOF|SATVSP|SATUPL|SATDNL|SATTND|SATVNO|SATFLR|SATRCK|SATXCN|SATPRE|IPX|FABRIC|METAL|Global_IPVPN_Interconnect|NEXTIP_Interconnect|NFV_AVAILABLE|PRE_WIRING|EXCHANGE_Interconnect|GMN Node Type|SITE|UIA|CABLE|VPG
ABBS|ABBS|ABBS|Decommissioned|Telstra International|Point of Presence|GID;IPT;IPVPN;||PIPE Data Centre 148 Brunswick St Fortitude Valley QLD AUSTRALIA BRISBANE 4006|BRISBANE|AUSTRALIA|Asia, Australia|-27.455151|153.031809|Telstra Australia|FS Australia/New Zealand|On-Net||||||FALSE|No|FS||||||||||||||||||||||GID|IPT||||IPVPN||||||||||||||||||||||||||||||||Not Supported||
ABFV|ABFV|ABFV|Live - cease sale|Next DC|Point of Presence|COLO;|Data Centre|NextDC B2, 454 St Pauls Terrace|BRISBANE|AUSTRALIA|Asia, Australia|-27.46684|153.02807|Telstra Australia|FS Australia/New Zealand|Off-Net|||||Yes|FALSE|No|FS|NextDC B2|Resell|NextDC|||3.5|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;COLO-XC;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
ABNE|ABNE|ABNE|Live - as designed|Telstra International|Point of Presence|TPN;|Data Centre|NEXTDC - B1 20 Wharf St Brisbane City QLD AUSTRALIA BRISBANE 4000|BRISBANE|AUSTRALIA|Asia, Australia|-27.465276|153.02958|Telstra Australia|FS Australia/New Zealand|On-Net||||||FALSE|No|FS|NextDC B1|Resell|NextDC||||||||||||||||||||||||||||||TPN|||||||||||||||||||FALSE|FALSE|FALSE|TRUE||||||
T017|T017|T017|Live - as designed|Telstra Australia|Point of Presence|TWI;TID;|PoP|20-26 Charlotte St, Brisbane, QLD|BRISBANE|AUSTRALIA|Asia, Australia|-27.471796|153.025403|Telstra Australia||Off-Net||||||FALSE|No|||||||||||||||||CHLT||||||||TWI|TID||||||||||||||||||||||||||||||||||||
T128|T128|T128|Live - as designed|Telstra Australia|Point of Presence|TWI;TID;|PoP|820 Main St, Woolloongabba, QLD|BRISBANE|AUSTRALIA|Asia, Australia|-27.484057|153.036655|Telstra Australia||Off-Net||||||FALSE|No|||||||||||||||||||||||||TWI|TID||||||||||||||||||||||||||||||||||||
ABPT|ABPT|ABPT|Live - as designed|Next DC|Point of Presence|COLO;|Data Centre|NextDC B1, 20 Wharf St|BRISBANE|AUSTRALIA|Asia, Australia|-27.4539|153.0332|Telstra Australia|FS Australia/New Zealand|Off-Net|||||No|FALSE|No|FS|Next DC B1|Resell|NextDC|||7.8|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;COLO-XC;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
ATWR|ATWR|ATWR|Live - as designed|Pulse DC|Point of Presence|COLO;|Data Centre|Toowoomba Technology Park, Witmack Road, Toowoomba, Australia QLD 4360|BRISBANE|AUSTRALIA|Asia, Australia|-27.53797|151.84239|Telstra Australia||Off-Net|||||No|FALSE|No||Pulse DC, Toowoomba|Resell|Pulse DC|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||Media Node||||
ABR1|ABR1|ABR1|Live - as designed|Equinix|Infrastructure|COLO;|Data Centre|54-58 Alfred Street, Fortitude Valley, Brisbane, QLD 4006, Australia|BRISBANE|AUSTRALIA|Asia, Australia|-27.45518|153.03407|Telstra Australia||Off-Net|||||Yes||||Equinix BR1, Brisbane|Resell|Equinix|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;COLO-XC;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
CHTE|CHTE|CHTE|Live - as designed|Telstra Australia|Point of Presence|COLO;|Data Centre|26 CHARLOTTE ST, BRISBANE CITY 4000 QLD|BRISBANE|AUSTRALIA|Asia, Australia|||||On-Net|||||No||||Charlotte Exchange (CHTE)|Owned|Telstra Corporation||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
ACCV|ACCV|ACCV|Live - as designed|Telstra International|Point of Presence|IPVPN;VPLS;EVPL;|PoP|50-52 Mort St Braddon ACT AUSTRALIA CANBERRA 2612|CANBERRA|AUSTRALIA|Asia, Australia|-35.2705855|149.1318942|Telstra Australia|FS Australia/New Zealand|On-Net|Secondary|AS4637|100M|||FALSE|No|FS|||||||||||||||||||||||||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||Not Supported||
ACDK|ACDK|ACDK|Live - as designed|Telstra International|Point of Presence|IPVPN;VPLS;EVPL;|PoP|109 Kent St Deakin ACT AUSTRALIA CANBERRA 2600|CANBERRA|AUSTRALIA|Asia, Australia|-35.3257422|149.0963554|Telstra Australia|FS Australia/New Zealand|On-Net|Secondary|AS4637|100M|||FALSE|No|FS|||||||||||||||||||||||||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||Not Supported||
ACNA|ACNA|ACNA|Decommissioned|Telstra International|Point of Presence|GID;IPT;IPVPN;||TransACT Data Centre 470 Northbourne Dickson ACT AUSTRALIA CANBERRA 2602|CANBERRA|AUSTRALIA|Asia, Australia|-35.251836|149.134412|Telstra Australia|FS Australia/New Zealand|On-Net|||100M|||FALSE|No|FS||||||||||||||||||||||GID|IPT||||IPVPN||||||||||||||||||||||||||||||||Not Supported||
